name,index
"Cell Adhesion, Polarity, and Tight Junction Organization",45
Cell Cycle Checkpoint Control and Proliferation Escape,46
Cell Cycle Checkpoint Control and Tumor Suppression,47
Cell Cycle Progression and Proliferation Control,48
Cell Cycle Regulation and Proliferative Constraint Bypass,49
Cell Cycle and Proliferation Control,50
Cell Migration and Directional Guidance,51
Cell Migration and Neuronal Process Outgrowth,52
"Cell Migration, Invasion, and Cytoskeletal Remodeling",53
Cell Surface Adhesion and Invasion,54
Cell-Cell Adhesion and Neuronal-Glial Communication,55
Cell-Cell Adhesion and Polarity,56
Cell-Cell Adhesion and Tissue Organization,57
Cell-Cell Communication and Synaptic Adhesion,58
Cellular Senescence and Senescence-Associated Secretory Phenotype,59
Central Nervous System Cell Adhesion and Barrier Formation,60
Centrosome Asymmetry and Asymmetric Cell Division Control,61
Chemokine-Mediated Myeloid Cell Recruitment and Polarization,62
Chromatin Remodeling and Transcriptional Control,63
Ciliary Structure and Hedgehog Signaling,64
Circadian Rhythm Regulation and Time-Dependent Drug Sensitivity,65
Complement Activation and Myeloid Cell Recruitment,66
Complement Regulation and Inflammatory Control,67
Complement and Scavenger Receptor Pattern Recognition,68
Cyclic Nucleotide-Responsive Transcriptional Control,69
Cytokine Receptor Signaling and Lymphocyte Survival,70
Cytoskeletal Dynamics and Astrocyte Process Morphology,71
Cytoskeletal Dynamics and Cell Migration,72
Cytoskeletal Dynamics and Process Motility,73
Cytoskeletal Organization and Focal Adhesion,74
Cytoskeletal Remodeling and Cell Migration,75
Cytoskeletal Reorganization and Cell Migration,76
Cytoskeletal Reorganization and Cell Morphology,77
Cytoskeletal Reorganization and Cell Motility,78
Cytoskeletal Reorganization and Enhanced Motility,79
Cytotoxic Granule-Mediated Killing,80
DNA Damage Response and Genomic Instability,81
DNA Damage Response and Genomic Stability Checkpoint Control,82
DNA Damage Response and Translesion Synthesis,83
DOCK Family Cytoskeletal Remodeling,84
Death Receptor Signaling and Regulated Cell Death,85
Dendritic Spine Cytoskeleton and Structural Plasticity,86
Developmental Identity and Lineage Determination,87
Developmental Neural Marker Expression and Progenitor State Maintenance,88
Developmental Plasticity and Multicellular Progenitor Fate Specification,89
Developmental Plasticity and Progenitor Identity,90
"Developmental Plasticity, Progenitor Identity, and Self-Renewal",91
Developmental Signaling and Stemness,92
Developmental Transcriptional Programming,93
Developmental Transcriptional Regulation and Neural Differentiation,94
ER Stress Response and Unfolded Protein Response,95
Endoplasmic Reticulum Stress Response and Unfolded Protein Response,96
Endosomal Trafficking and Polarized Transport,97
Ephrin-Eph Signaling and Cell-Cell Communication,98
Epigenetic Regulation of Immune Responses,99
Epithelial-Mesenchymal Transition and Invasive Phenotype,100
Extracellular Matrix Composition and Remodeling,101
Extracellular Matrix Interactions and Cell Motility,102
Extracellular Matrix Organization and Developmental Signaling,103
Extracellular Matrix Organization and Remodeling,104
Extracellular Matrix Organization and Tumor Microenvironment,105
Extracellular Matrix Proteolysis and Invasion,106
Extracellular Matrix Remodeling,107
Extracellular Matrix Remodeling and Cell Adhesion,108
Extracellular Matrix Remodeling and Collagen Organization,109
Extracellular Matrix Remodeling and Deposition,110
Extracellular Matrix Remodeling and Integrin-Mediated Signaling,111
Extracellular Matrix Remodeling and Invasion,112
Extracellular Matrix Remodeling and Invasion Program,113
Extracellular Matrix Remodeling and Invasive Phenotype,114
Extracellular Matrix Remodeling and Microenvironment Sculpting,115
Extracellular Matrix Remodeling and Perineuronal Net Organization,116
Extracellular Matrix Remodeling and Proteolysis,117
Extracellular Matrix Remodeling and Proteolytic Invasion,118
Extracellular Matrix Remodeling and Stromal Cell Regulation,119
Extracellular Matrix Remodeling and Tissue Interactions,120
Extracellular Matrix-Integrin Mechanotransduction,121
Fc Receptor Signaling and Antibody-Dependent Responses,122
Ferroptosis and Redox Homeostasis,123
Fibroblast Growth Factor and Morphogenic Signaling,124
GABAergic Synaptic Transmission and Inhibitory Circuit Assembly,125
Gap Junction Communication and Astrocyte Network Integration,126
Glial Cell Adhesion and Junction Proteins,127
Glial Lineage Specification and Maintenance,128
Glutamate Homeostasis and Excitatory Signaling,129
Glutamate Homeostasis and Ion Regulation,130
Glutamate Homeostasis and Neurotransmitter Recycling,131
Glutamate Metabolism and Neurotransmitter Transport,132
Glutamate Metabolism and Synaptic Homeostasis,133
Glutamate Signaling and Neurotransmitter Homeostasis,134
Glutamate Transport and Synaptic Homeostasis,135
Glutamate and GABA Neurotransmission,136
Glutamate-Glutamine Cycle and Amino Acid Homeostasis,137
Glutamatergic Excitatory Signaling,138
Glutamatergic Neurotransmission and Synaptic Plasticity,139
Glutamatergic Synaptic Transmission,140
Glutamatergic and GABAergic Neurotransmitter Signaling,141
Glycolytic Metabolic Reprogramming,142
Growth Factor Receptor Signaling,143
Growth Factor Receptor Signaling and MAPK Pathway,144
Growth Factor Receptor Signaling and Oncogenic Proliferation,145
Growth Factor Receptor Signaling and Proliferation Control,146
Growth Factor Receptors and Receptor Tyrosine Kinase Signaling,147
Growth Factor Signal Transduction,148
Growth Factor Signaling and Cellular Proliferation Control,149
Growth Factor Signaling and Developmental Programs,150
Growth Factor Signaling and Metabolic Adaptation,151
Growth Factor Signaling and Neurotrophic Receptor Pathways,152
Hippo Pathway Mechanotransduction,153
Histone Methylation and Chromatin Plasticity,154
Histone Modification and Chromatin Remodeling,155
Histone Modification and Epigenetic Regulation,156
Hypoxia Response and Metabolic Adaptation,157
Hypoxia Response and Microenvironmental Stress Adaptation,158
Hypoxia-Inducible Factor Signaling,159
INSM1-Driven Intermediate Progenitor Cell Identity,160
INSM1-Driven Intermediate Progenitor Cell State and Glioma Plasticity,161
Immune Checkpoint Expression and Tumor Immune Escape,162
Immune Checkpoint Ligand Expression and T Cell Exhaustion,163
Immune Checkpoint Regulation and T Cell Stemness,164
Immune Checkpoint Regulation and T Cell Suppression,165
Immune Synapse Assembly and Co-signaling,166
Immune-Glial Crosstalk and Microglial Function,167
Immunoregulatory Checkpoints and Immune Tolerance Signaling,168
Inflammatory Cytokine and Immune Modulation,169
Inflammatory Response Activation and Immune Signaling,170
Inflammatory and Immune Response,171
Innate Immune Sensing and TLR/IL-1 Signaling,172
Integrin and Cell Adhesion Molecule-Mediated Myeloid Cell Trafficking,173
Integrin-Linked Kinase and Focal Adhesion Signaling,174
Integrin-Mediated Cell Adhesion and Mechanotransduction,175
Integrin-Mediated Cell-Substrate Adhesion,176
Interferon-Stimulated Gene Expression and Antiviral State,177
Intracellular Pattern Recognition and Viral RNA Sensing,178
Ion Channel Diversity and Neuronal-Like Electrophysiology,179
Ion Channel Dysregulation and Altered Cellular Excitability,180
Ion Channel Electrophysiology and Calcium Homeostasis,181
Ion Channel Function and Calcium-Mediated Signaling,182
Ion Channel Organization and Calcium Signaling,183
Ion Channel Regulation and Neuronal Excitability Interface,184
Ion Channel and Electrophysiological Remodeling,185
Ion Channel and Transporter Mediated Homeostasis,186
Ion Channels and Electrolyte Transport,187
Ion Homeostasis and Calcium Signaling,188
Ion Homeostasis and Electrolyte Regulation,189
Ion Homeostasis and Intracellular Calcium Regulation,190
Kinase Signaling Cascade and Proliferation,191
Kinase Signaling Cascades and Cell Cycle Progression,192
L-type Calcium Channel Signaling and Synaptic Plasticity,193
Lipid Mediator Production and Eicosanoid Metabolism,194
Lipid Metabolism and Apolipoprotein Homeostasis,195
Lipid Metabolism and Apolipoprotein-E Signaling,196
Lipid Metabolism and Membrane Composition Regulation,197
Lipid Metabolism and Membrane Homeostasis,198
Lipid Metabolism and Membrane Remodeling,199
Lipid Metabolism and Myelin Lipid Biogenesis,200
Lipid Metabolism and Neuroinflammatory Signaling,201
Lipid Signaling and Phospholipid Metabolism,202
Long Non-Coding RNA Regulation of Cancer Phenotypes,203
Long Non-Coding RNA Regulatory Network,204
Long Non-Coding RNA-Mediated Metabolic Control,205
Long Noncoding RNA Regulatory Networks,206
Long Noncoding RNA-Mediated Gene Silencing and Epigenetic Regulation,207
Lymphocyte Trafficking and Extravasation,208
Lysosomal Acidification and Autophagy Flux,209
MAPK/ERK Feedback Suppression and Pathway Regulation,210
MAPK/ERK Pathway Signaling and Proliferation Control,211
Major Histocompatibility Complex Class II and Antigen Presentation,212
Meiosis-Related Genes and Germ Cell Plasticity,213
Metabolic Adaptation and Energy Production,214
Metabolic Flexibility and Tumor Microenvironment Adaptation,215
Metabolic Function and Mitochondrial Homeostasis,216
Metabolic Plasticity and Hypoxic Adaptation,217
Metabolic Plasticity and Therapeutic Resistance,218
Metabolic Remodeling and Bioenergetic Adaptation,219
Metabolic Reprogramming,220
Metabolic Reprogramming Toward Aerobic Glycolysis and Lipogenesis,221
Metabolic Reprogramming Toward Glycolysis and Biosynthesis,222
Metabolic Reprogramming and Bioenergetic Adaptation,223
Metabolic Reprogramming and Biosynthetic Capacity,224
Metabolic Reprogramming and Energy Adaptation,225
Metabolic Reprogramming and Energy Metabolism,226
Metabolic Reprogramming and Glucose Metabolism,227
Metabolic Reprogramming and Glycolytic Enhancement,228
Metabolic Reprogramming and Glycolytic-to-Oxidative Metabolism Switching,229
Metabolic Reprogramming and Lactate Metabolism,230
Metabolic Reprogramming and Lipid Homeostasis,231
Metabolic Reprogramming and One-Carbon Metabolism,232
Metabolic Reprogramming and Oxidative Phosphorylation in Glioma,233
Metabolic Reprogramming and Stemness Maintenance,234
Metabolic Reprogramming and Tryptophan Metabolism,235
Metabolic Stress Sensing and Energy Charge Homeostasis,236
Metabolic Substrate Transport and Nutrient Uptake,237
Microtubule Organization and Intracellular Vesicular Transport,238
Microtubule Organization and Post-Translational Tubulin Modification,239
Mitochondrial Function and Metabolic Coupling,240
Mitochondrial Function and Oxidative Stress Management,241
Mitochondrial Oxidative Phosphorylation and Energy Production,242
Mitochondrial Quality Control and Senescence Prevention,243
Myelin Lipid Biosynthesis and Homeostasis,244
Myelin Lipid Biosynthesis and Metabolism,245
Myelin Protein Assembly and Structure,246
Myelin Protein Synthesis and Maintenance,247
Myelin Structural Proteins and Compaction,248
NMDA Receptor-Mediated Glutamate Signaling and Excitotoxicity,249
NTRK2 Receptor Tyrosine Kinase Signaling,250
Natural Killer Cell Activation and Function,251
Neural Progenitor Identity and Stemness Maintenance,252
Neuregulin-ErbB4 Signaling and GABAergic Interneuron Development,253
Neurodegeneration-Associated Pathways and Chronic Astrocyte Dysfunction,254
Neurodegeneration-Associated Processes and Chronic Inflammation,255
Neuroinflammation and Tumor Microenvironment Remodeling,256
Neuron-Glia Signaling and Neurotrophic Interactions,257
Neuron-Glial Interaction and Synaptic Plasticity,258
Neuronal Differentiation and Glutamatergic Synaptic Function,259
Neuronal Excitability Control,260
Neuronal Ion Channel and Glutamate Homeostasis,261
Neuronal Transcription Factor Networks and Developmental Cell Fate,262
Neurotransmission and Neuronal Plasticity,263
Neurotrophic Signaling and Neuronal Support,264
Nitric Oxide Signaling and Metabolic-Inflammatory Integration,265
Oligodendrocyte Lineage Development and Myelination,266
Oligodendrocyte Specification and Lineage Identity,267
Oligodendrocyte Transcriptional Specification,268
Oligodendroglial Transcriptional Specification,269
Oxidative Stress Management and Antioxidant Defense,270
Oxidative Stress Response and Antioxidant Defense,271
PDGFRA-Driven Proliferation and Oncogenic Signaling,272
Pan-Reactive Astrocyte Marker Expression,273
Partial Neuronal and Synaptic Programs in Astrocytoma,274
Phagocytic and Lysosomal Processing Functions,275
Phosphatase Signaling and Feedback Control,276
Phosphatidylinositol Signaling and Lipid Metabolism,277
Phospholipase Signaling and Lipid Second Messengers,278
Phospholipid Metabolism and Bioactive Lipid Signaling,279
Post-Transcriptional Gene Regulation and mRNA Stability,280
Postsynaptic Density Scaffolding and Synaptic Organization,281
Potassium Channel Expression and Action Potential Repolarization,282
Potassium Channel Regulation and Osmotic Homeostasis,283
Primary Ciliary Axonemal Dyneins and Motor Apparatus,284
"Protein Degradation, Ubiquitination, and Cellular Trafficking",285
Protein Phosphatase 2A (PP2A) Compartmentalized Signaling,286
Protein Tyrosine Phosphatase Signaling and Kinase Restraint,287
Protein Tyrosine and Serine/Threonine Kinase Signaling,288
Purine Metabolism and Nucleotide Biosynthesis,289
RNA Processing and Post-Transcriptional Regulation,290
RNA Processing and Stability Control,291
RNA Processing and Transcriptional Dynamics,292
RNA Splicing and Transcript Processing Dysregulation,293
RNA-Binding Protein-Mediated Post-transcriptional Control,294
RNA-Binding Proteins and Post-Transcriptional Gene Regulation,295
ROBO-DCC-Mediated Axon Guidance and Tumor Cell Migration,296
Reactive Astrocyte Activation and Neuroinflammation,297
Reactive Astrocyte Activation and Pro-Inflammatory Phenotype,298
Reactive Astrocyte Phenotype and Identity,299
Reactive Astrocyte Phenotype and Inflammatory Immune Signaling,300
Reactive Astrocyte Response and Neuroinflammatory Signaling,301
Reactive Astrocyte Transformation and Neuroinflammation,302
Reactive Astrocyte-like Inflammatory Programs,303
Receptor Tyrosine Kinase Signaling Through Ras-ERK and PI3K-AKT Cascades,304
Receptor Tyrosine Kinase Signaling and Intercellular Communication,305
Receptor Tyrosine Kinase Signaling and Oncogenic Pathway Activation,306
Regulatory RNA Networks and Post-Transcriptional Control,307
Rho GTPase Signaling and Actin Cytoskeletal Dynamics,308
Rho GTPase Signaling and Actin Dynamics,309
Rho GTPase Signaling and Cytoskeletal Dynamics,310
Rho-GTPase-Mediated Cytoskeletal Remodeling,311
RhoGTPase Regulation and Actin Dynamics,312
SRRM4-Mediated Neuronal Splicing Regulation,313
STAT3-IL6 Inflammatory Signaling Axis,314
Selective Autophagy and Mitochondrial Quality Control,315
Selective Autophagy and Proteostasis,316
Semaphorin-Plexin Axon Guidance Signaling,317
Serine Protease-Mediated Proteolysis and Protease Inhibition,318
Signal Transduction and Cell Proliferation Control,319
Signaling Pathway Integration and Growth Promotion,320
Solute Transport and Metabolic Exchange,321
Specialized Ion and Molecular Transport,322
Synapse-Associated Pruning and Neuronal Interaction,323
Synaptic Adhesion and Cell-Cell Contact Machinery,324
Synaptic Adhesion and Connectivity,325
Synaptic Adhesion and Neuronal Contact,326
Synaptic Adhesion and Plasticity,327
Synaptic Interface Disruption,328
Synaptic Organization and Neural Circuit Formation,329
Synaptic Organization and Neuronal-Astrocytic Tripartite Synapse,330
Synaptic Plasticity and Calcium-Dependent Signaling,331
Synaptic Plasticity and Neuron-Astrocyte Communication,332
Synaptic Plasticity and Neuron-Tumor Interaction,333
Synaptic Plasticity and Neuronal Interaction,334
Synaptic Plasticity and Neurotransmission,335
Synaptic Plasticity and Synapse Pruning,336
Synaptic Plasticity and Synapse-Associated Processes,337
T Cell Receptor Signal Transduction,338
Tetraspanin-Organized Membrane Microdomains,339
Toll-Like Receptor and Pattern Recognition Innate Immune Signaling,340
Transcription Factor-Driven Cellular Plasticity Network,341
Transcriptional Control and Epigenetic Regulation,342
Transcriptional Control of Cell Fate and Proliferation,343
Transcriptional Control of Differentiation and Stem Cell Maintenance,344
Transcriptional Control of Glial Differentiation and Neurogenic Fate,345
Transcriptional Control of Inflammatory and Stress Responses,346
Transcriptional Control of Lymphocyte Differentiation,347
Transcriptional Differentiation and Stemness Control,348
Transcriptional Regulation and Cell Fate Control,349
Transcriptional Regulation and Developmental Progenitor State,350
Transcriptional Regulation of Development and Cell Fate,351
Transcriptional Regulation of Glial Identity and Chromatin Organization,352
Transcriptional Reprogramming,353
Transcriptional Reprogramming and EMT Control,354
Transcriptional and Epigenetic Regulation,355
Transcriptional and Post-Transcriptional Gene Regulation,356
Treatment Resistance and Genomic Instability,357
Tumor Microenvironment Remodeling and Immunomodulation,358
Tumor Microenvironment Remodeling and Immunosuppression,359
Tumor Suppression and Differentiation-Promoting Pathways,360
Tumor-Associated Neuroinflammation,361
Type I Interferon Production and Signaling,362
Type II Interferon Signaling and Th1 Immunity,363
Vesicular Trafficking and Endocytic Receptor Recycling,364
Vesicular Trafficking and Exosome Biogenesis,365
Vesicular Trafficking and Membrane Dynamics,366
Voltage-Gated Ion Channels and Intrinsic Excitability,367
Voltage-Gated Ion Channels and Neuronal Excitability,368
Water Homeostasis and Osmotic Balance,369
Wnt Signaling and Transcriptional Cell Fate Control,370
Wnt/Beta-Catenin Signaling and Progenitor Cell State Maintenance,371
