query,run,program_name
Cluster_0,20251216_214706,Reactive Astrocyte Transformation and Neuroinflammation
Cluster_0,20251216_214706,Transcriptional Control of Differentiation and Stem Cell Maintenance
Cluster_1,20251216_215242,Cellular Senescence and Senescence-Associated Secretory Phenotype
Cluster_1,20251216_215242,Metabolic Reprogramming and Glycolytic Enhancement
Cluster_1,20251216_215242,Neurodegeneration-Associated Pathways and Chronic Astrocyte Dysfunction
Cluster_1,20251216_215242,Reactive Astrocyte Phenotype and Identity
Cluster_1,20251216_215242,STAT3-IL6 Inflammatory Signaling Axis
Cluster_2,20251216_215657,Axon Guidance and Developmental Routing
Cluster_2,20251216_215657,DNA Damage Response and Translesion Synthesis
Cluster_2,20251216_215657,Developmental Transcriptional Programming
Cluster_2,20251216_215657,Histone Modification and Chromatin Remodeling
Cluster_2,20251216_215657,Neuronal Excitability Control
Cluster_2,20251216_215657,Synaptic Plasticity and Calcium-Dependent Signaling
Cluster_3,20251216_220144,Axon Guidance and Neuronal Differentiation
Cluster_3,20251216_220144,Growth Factor Receptor Signaling and MAPK Pathway
Cluster_3,20251216_220144,Kinase Signaling Cascade and Proliferation
Cluster_3,20251216_220144,Metabolic Flexibility and Tumor Microenvironment Adaptation
Cluster_3,20251216_220144,Neuronal Ion Channel and Glutamate Homeostasis
Cluster_3,20251216_220144,Phosphatase Signaling and Feedback Control
Cluster_3,20251216_220144,Synaptic Plasticity and Neuron-Astrocyte Communication
Cluster_5,20251216_221233,Cytoskeletal Dynamics and Astrocyte Process Morphology
Cluster_5,20251216_221233,Transcriptional Control of Cell Fate and Proliferation
Cluster_5,20251216_221233,Vesicular Trafficking and Membrane Dynamics
Cluster_6,20251216_221758,"Developmental Plasticity, Progenitor Identity, and Self-Renewal"
Cluster_6,20251216_221758,Neuroinflammation and Tumor Microenvironment Remodeling
Cluster_6,20251216_221758,Neuronal Differentiation and Glutamatergic Synaptic Function
Cluster_6,20251216_221758,Receptor Tyrosine Kinase Signaling Through Ras-ERK and PI3K-AKT Cascades
Cluster_6,20251216_221758,Tumor Suppression and Differentiation-Promoting Pathways
Cluster_8,20251216_222831,Axon-Glia Communication and Neurite Support
Cluster_8,20251216_222831,Metabolic Adaptation and Energy Production
Cluster_9,20251216_223257,AMPA Receptor Trafficking and Synaptic Strength Regulation
Cluster_9,20251216_223257,Astrocyte Activation and Perilesional Neuroinflammation
Cluster_9,20251216_223257,Dendritic Spine Cytoskeleton and Structural Plasticity
Cluster_9,20251216_223257,INSM1-Driven Intermediate Progenitor Cell State and Glioma Plasticity
Cluster_9,20251216_223257,L-type Calcium Channel Signaling and Synaptic Plasticity
Cluster_9,20251216_223257,Metabolic Reprogramming and Oxidative Phosphorylation in Glioma
Cluster_9,20251216_223257,NMDA Receptor-Mediated Glutamate Signaling and Excitotoxicity
Cluster_9,20251216_223257,Potassium Channel Expression and Action Potential Repolarization
Cluster_9,20251216_223257,Protein Phosphatase 2A (PP2A) Compartmentalized Signaling
